種類,1,2,3,4,5,6,key,項目名,必須,条件,型,単位,入力,備考
,,,○,,,,layers,層のリスト,△,"{'boundary_type': ['internal', 'external_general_part', 'ground']}",list,－,,室内外の熱伝達抵抗は含まない。
,,,,○,,,,層,○,,dict,－,,対象室側から並べること。
,,,,,○,,name,名称,○,,str,－,,
,,,,,○,,thermal_resistance,熱抵抗,○,,float,m2K/W,,
,,,,,○,,thermal_capacity,熱容量,○,,float,kJ/m2K,,
,,,○,,,,solar_shading_part,日除けの仕様,○,,dict,－,,
,,,,○,,,existence,有無,○,,bool,－,,
,,,,○,,,input_method,入力方法,△,{'exsistence': True},str,－,"{'default', 'simple', 'detailed'}",「デフォルト値」「簡易法」「詳細法」を表す。
,,,,○,,,depth,庇・軒の出幅,△,{'input_method': 'simple'},float,m,,
,,,,○,,,d_h,窓の高さ,△,{'input_method': 'simple'},float,m,,
,,,,○,,,d_e,窓の上端から庇までの距離,△,{'input_method': 'simple'},float,m,,
,,,,○,,,x1,庇水平方向の出(左),△,{'input_method': 'detailed'},float,m,,
,,,,○,,,x2,窓幅,△,{'input_method': 'detailed'},float,m,,
,,,,○,,,x3,庇水平方向の出(右),△,{'input_method': 'detailed'},float,m,,
,,,,○,,,y1,上部庇の窓上端からの距離,△,{'input_method': 'detailed'},float,m,,
,,,,○,,,y2,窓高さ,△,{'input_method': 'detailed'},float,m,,
,,,,○,,,y3,下部庇の窓下端からの距離,△,{'input_method': 'detailed'},float,m,,
,,,,○,,,z_x_pls,側壁右の出幅,△,{'input_method': 'detailed'},float,m,,
,,,,○,,,z_x_mns,側壁左の出幅,△,{'input_method': 'detailed'},float,m,,
,,,,○,,,z_y_pls,上部庇の出幅,△,{'input_method': 'detailed'},float,m,,
,,,,○,,,z_y_mns,下部庇の出幅,△,{'input_method': 'detailed'},float,m,,
